TPO-NEO,R-L-S-W,Section,Word,Pronunciation,Meaning,Persian Meaning,Example
T23,R,P2,husbandry,ˈhʌzbəndri,"The care, cultivation, and breeding of crops and animals",دامداری,Peasants improved animal husbandry techniques to increase milk yield.
T23,R,P2,dairy farming,ˈdeəri ˈfɑːrmɪŋ,The branch of agriculture devoted to the production of milk and milk products,دامداری برای تولید لبنیات,Dairy farming involved feeding animals indoors to raise milk yield.
T23,R,P2,fodder,ˈfɒdər,Food for farm animals,خوراک دام,Livestock were fed fodder crops like turnips.
T23,R,P2,flax,flæks,A fiber plant that is used to make linen,کتان,Flax was cultivated by peasants for industrial uses.
T23,R,P2,madder,ˈmædər,A plant used for making red dye,مادر، گیاه رنگی,Madder was grown as an industrial crop.
T23,R,P2,rape,reɪp,A plant whose seeds are used to make oil (also known as canola),کلزا,Rape was another crop grown for industrial purposes.
T23,R,P2,hops,hɒps,Plants used primarily in brewing beer,هاپ، گیاهی برای ساخت آبجو,Hops were cultivated for use in brewing.
T23,R,P2,turnips,ˈtɜːrnɪps,A type of root vegetable,شلغم,Turnips were grown as both fodder and food crops.
T23,R,P2,horticulture,ˌhɔːrtɪˈkʌltʃər,The art or practice of garden cultivation and management,باغبانی,"Horticulture became a recognized agricultural sector, involving the cultivation of fruits and vegetables."
T23,R,P2,reclaim,rɪˈkleɪm,"To retrieve or recover something previously lost, or to convert wasteland into usable land",بازیافتن,The Dutch reclaimed land from lakes and wetlands for agriculture.
T23,R,P2,justified,ˈdʒʌstɪfaɪd,Shown or proven to be right or reasonable,توجیه شده,The increased yield and price of land justified reclaiming more land.
T23,R,P2,draining,ˈdreɪnɪŋ,The process of removing water or liquid from an area,زهکشی,Draining of the Beemster Lake began in 1608.
T23,R,P2,drainage,ˈdreɪnɪdʒ,The system or process by which water or liquid is drained,زهکشی,Windmills powered the drainage pumps to dry out the land.
T23,R,P2,reclamation,ˌrɛkləˈmeɪʃən,"The process of claiming something back or reasserting a right, or converting wasteland into usable land",بازیافت,Land reclamation was a significant project in Dutch agriculture.
T23,R,P2,In Europe as a whole,ɪn ˈjʊərəp æz ə ˈhoʊl,Referring collectively to all parts of Europe,در اروپا به طور کلی,"In Europe as a whole, the agricultural crisis caused prices to fall."
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
T26,R,P1,sought,/sɔt/ - verb (past tense of seek),Attempted or tried to obtain,جستجو کرد,Historians have sought to identify crucial elements in the rise of the Industrial Revolution.
T26,R,P1,prominence,/ˈprɑmɪnəns/ - noun,Importance or significance,برجستگی,Energy problem was given prominence in the discussion of the Industrial Revolution.
T26,R,P1,draining,/ˈdreɪnɪŋ/ - verb (present participle),"Removing liquid, especially water, typically to make it usable or to prevent flooding",تخلیه,The steam engine helped in draining coal mines of groundwater.
T26,R,P1,sixtyfold,/ˈsɪkstifoʊld/ - adjective,Sixty times as much or as many,شصت برابر,Production of British cotton goods increased sixtyfold.
T26,R,P1,seams,/siːmz/ - noun,"Joints between two parts, here specifically referring to layers or deposits of coal",درزها، لایه‌ها,Coal was mined from the ever-deeper seams found below the water table.
T26,R,P1,water table,/ˈwɔːtər ˈteɪbəl/ - noun,The level below which the ground is saturated with water,سطح آب زیرزمینی,Steam-powered pumps drained water from coal seams below the water table.
T26,R,P1,thus in,/ðʌs ɪn/ - adverb,"Therefore, consequently",بنابراین,"Thus in the late 1700s, James Watt designed an efficient steam engine."
T26,R,P1,steam-driven bellows,/ˈstim ˈdrɪvən ˈbɛloʊz/ - adjective,Bellows operated by steam power to increase the airflow for industrial processes,دمنده‌های محرکه بخار,Steam-driven bellows came into use for producing raw iron.
T26,R,P1,bellow,/ˈbɛloʊ/ - noun,"A device with an airbag that emits a stream of air, used typically in some types of furnaces",دم,Bellows were used to increase airflow and burn away impurities.
T26,R,P1,Impurities,/ɪmˈpjʊrɪtiz/ - noun,Substances mixed in with a main element or material that are not wanted and reduce the purity,ناخالصی‌ها,"Impurities were burnt away with the use of coke, producing high-quality iron."
T26,R,P1,instrumental,/ˌɪnstrəˈmɛntəl/ - adjective,Crucial in aiding or causing something to happen,موثر، کلیدی,Reduced cost was instrumental in developing steam-powered rolling mills.
T26,R,P1,ever-widening,/ˌɛvərˈwaɪdnɪŋ/ - adjective,Continuously increasing in scope or range,همیشه گسترده‌تر شونده,The ever-widening use of higher-quality iron in industries was notable.
T26,R,P1,implication,/ˌɪmplɪˈkeɪʃən/ - noun,"A conclusion that can be drawn from something, although it is not explicitly stated",پیامد، نتیجه‌گیری نهفته,The implication of steam power was profound in the iron industry.
T26,R,P1,which in turn had further implications,/ˈwɪʧ ɪn tɜrn hæd ˈfɜrðər ˌɪmplɪˈkeɪʃənz/ - phrase,Results that lead to additional outcomes,که به نوبه خود پیامدهای بیشتری داشت,"Steam power revolutionized transport, which in turn had further implications."
T26,R,P1,entrenching,/ɪnˈtrɛnʧɪŋ/ - verb (present participle),Establishing something firmly or securely,استحکام بخشیدن,The steam engine entrenched the complete transformation in rail transportation.
T26,R,P1,to keep pace with,/tu kip ˈpeɪs wɪð/ - phrase,To maintain the rate or speed to stay level with others,هم‌پایی کردن با,Factories grew to keep pace with increasing sales.
T26,R,P1,provided entrepreneurs with profits,/proʊˈvaɪdɪd ˌɒntrəprəˈnɜrz wɪθ ˈprɒfɪts/ - phrase,Supplied business people with financial gains,درآمدزایی برای کارآفرینان,The developments provided entrepreneurs with profits to reinvest.
T26,R,P2,virtually,/ˈvɜrʧuəli/ - adverb,"Almost, nearly, or to an extent that is so close as to be equivalent to the actual value or condition",تقریباً,"In some areas, virtually no water is available to the plants."
T26,R,P2,dwarfed,/ˈdwɔrf/ - verb,To make something seem small or insignificant by comparison,کوچک کردن,Many plants in the desert are dwarfed due to harsh conditions.
T26,R,P2,evade,/ɪˈveɪd/ - verb,"To escape or avoid, especially by cleverness or trickery",اجتناب کردن,Ephemeral plants evade drought by only growing rapidly after rain.
T26,R,P2,lie dormant,/laɪ ˈdɔrmənt/ - verb phrase,"To be inactive or in a state of inactivity, as in suspended animation",خفته,Seeds of ephemeral plants lie dormant until the next wet year.
T26,R,P2,perennial,/pəˈrɛniəl/ - adjective,Lasting or existing for a long or apparently infinite time; enduring or continually recurring,چندسالانه,Perennial plants in deserts have various adaptations to withstand arid conditions.
T26,R,P2,ephemeral,/ɪˈfɛmərəl/ - adjective,Lasting for a very short time,زودگذر,Ephemeral plants bloom shortly after a rain and die quickly.
T26,R,P2,pore,/pɔr/ - noun,"A tiny opening in a surface, especially the skin or epidermis of an organism",منفذ,Desert plants often close their pores to reduce water loss.
T26,R,P2,rolling up or shedding of leaves,/ˈroʊlɪŋ ʌp/ - verb phrase,"To curl something up into a rounded shape; /ˈʃɛdɪŋ/ - verb, to cast off or let fall naturally",قرقره کردن / ریزش,Some plants have adaptations like rolling up or shedding leaves to survive dry seasons.
T26,R,P2,xerophytes,/zɪˈrɒfaɪts/ - noun,Plants adapted to very dry conditions,گیاهان بیابانی,Xerophytes reduce water loss through various structural modifications.
T26,R,P2,succulent,/ˈsʌkjələnt/ - noun,A plant with thick fleshy tissues adapted to store water,گیاه آبدار,Cacti are a type of succulent commonly found in deserts.
T26,R,P2,taproot,/ˈtæprut/ - noun,"A large, central, and dominant root from which other roots sprout laterally",ریشه شاخه‌دار,Phreatophytes often develop long taproots to reach deep groundwater.
T26,R,P2,spring,/sprɪŋ/ - noun,A place where water naturally flows out of the ground,چشمه,Desert plants like the mesquite often grow near springs to access water.
T26,R,P2,aestivation,/ɛsˈtɪveɪʃən/ - noun,A state of dormancy or torpor during hot dry periods,خواب تابستانه,Some desert animals enter aestivation to survive the summer.
T26,R,P2,dormancy,/ˈdɔrmənsi/ - noun,A period in which a living organism's physical activity is suspended or greatly reduced,خواب زمستانه,Seeds remain in dormancy until favorable conditions return.
T26,R,P2,torpor,/ˈtɔrpər/ - noun,A state of physical or mental inactivity; lethargy,سستی، بی‌حالی,Animals like kangaroo rats enter torpor to conserve energy during extreme heat or dry spells.
T26,R,P2,spell,/spɛl/ - noun,A period of a particular kind of weather or condition,دوره,A spell of dry weather can trigger dormancy in desert plants.
T26,R,P2,overhang,/ˈoʊvərˌhæŋ/ - noun,A projection that extends beyond or hangs over something else,ایوان، برآمدگی,Birds find shelter under rock overhangs to avoid the desert heat.
T26,R,P2,burrow,/ˈbɜroʊ/ - noun,"A hole or tunnel dug by a small animal, especially a rabbit, as a dwelling",سوراخ، لانه,The kangaroo rat burrows to escape the desert heat.
T26,R,P2,morphological,/mɔrˈfɒlədʒɪkəl/ - adjective,Relating to the form or structure of things,مورفولوژیک,Morphological adaptations in desert animals include changes to their body structures for survival.
T26,R,P2,ostrich,/ˈɒstrɪʧ/ - noun,A large flightless bird native to Africa,شترمرغ,The ostrich uses its plumage to regulate body temperature in the desert.
T26,R,P2,plumage,/ˈpluːmɪdʒ/ - noun,The layer of feathers that cover a bird and the structure of those feathers,پر,Ostrich plumage is adapted to protect it from the sun while allowing heat loss.
T26,R,P2,lateral,/ˈlætərəl/ - adjective,"Relating to the side; situated at, proceeding from, or directed to a side",جانبی,The ostrich's sparse and lateral feather arrangement facilitates cooling.
T26,R,P3,"At first sight, the ... did not appear to be a likely …",/æt fɜrst saɪt/ - phrase,"Initially, on first examination",در نگاه اول,"At first sight, the plain did not appear to be a likely home for a civilization."
T26,R,P3,It was this that made,/ɪt wəz ðɪs ðæt meɪd/ - phrase,This specific action caused,این بود که باعث شد,It was this that made the organization of irrigation essential.
T26,R,P3,canal vs Channel,/ˈkænəl/ - noun vs /ˈʧænəl/ - noun,Canal: an artificial waterway; Channel: a natural or artificial waterway,کانال,Canals were built to channel the river water.
T26,R,P3,silt,/sɪlt/ - noun,Fine sand or clay carried by running water,رسوب,The silt carried down by the rivers was planted.
T26,R,P3,rain-fed earth,/reɪn fɛd ɜrθ/ - noun phrase,Earth irrigated only by rainfall,زمین آبیاری شده با باران,The rewards from the rain-fed earth were significantly less.
T26,R,P3,temple,/ˈtɛmpəl/ - noun,"A building devoted to the worship, or regarded as the dwelling place, of a god or gods or other objects of religious reverence",معبد,Impressive temple complexes were central to the cities.
T26,R,P3,complex,/ˈkɑmplɛks/ - noun,A group of buildings or facilities on a site,مجموعه,The temple complex at Uruk was central to its urban structure.
T26,R,P3,patron,/ˈpeɪtrən/ - noun,"A protector or supporter, often used for deities in historical contexts",حامی,"Uruk had two patron gods, Anu and Inanna."
T26,R,P3,sovereign,/ˈsɑvrən/ - adjective,Possessing supreme or ultimate power,حاکم,"Anu, the god of the sky and sovereign of all other gods."
T26,R,P3,clamor,/ˈklæmər/ - noun,Loud and confused noise,هیاهو,The gods destroyed the human race because its clamor had been disturbing.
T26,R,P3,secular rulers,/ˈsɛkjʊlər ˈrulərz/ - noun phrase,Non-religious leaders or administrators,حکومت‌های سکولار,The cities had secular rulers from the earliest times.
T26,R,P3,incise,/ɪnˈsaɪz/ - verb,Cut into a surface with a sharp instrument,حکاکی کردن,The logograms were incised on damp clay tablets.
T26,R,P3,damp,/dæmp/ - adjective,Slightly wet,مرطوب,The earliest script was incised on damp clay tablets.
T26,R,P3,wedge,/wɛʤ/ - noun,A piece with a thick end tapering to a thin edge that is driven between two objects or parts of an object to secure or separate them,ابزار تیزکننده,The stylus had a wedge shape at its end.
T26,R,P3,stylus,/ˈstaɪləs/ - noun,A tool used for writing or engraving,خودکار,A stylus with a wedge shape was used for inscribing cuneiform.
T26,R,P3,pottery,/ˈpɑtəri/ - noun,Objects made from clay and hardened by heat,سفال,The wheel was probably developed first for making pottery.
T26,R,P3,sledge,/slɛʤ/ - noun,"A vehicle on runners for sliding over snow or ice; here, a similar structure for different terrain",سورتمه,A sledge mounted on wheels was depicted on a Sumerian tablet.
T26,R,P3,mounted,"/ˈmaʊntɪd/ - verb, past participle",Fixed onto a support or base,نصب شده,The sledge was mounted on four solid wheels.
T26,R,P3,scythes,/ˈsaɪðs/ - noun plural,Tools with a curved blade for cutting crops at harvest,داس,Scythes made from bronze were more efficient than stone tools.
